image_id,image_filename,x,y,approx_radius,blob_index
160x_2025-05-29_02-23-00_001_grid_r1_c1_12,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,200.0,361.0,2.5600000000000005,12
160x_2025-05-29_02-23-00_001_grid_r1_c1_13,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,340.0,430.0,2.5600000000000005,13
160x_2025-05-29_02-23-00_001_grid_r1_c1_14,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,307.0,382.0,2.5600000000000005,14
160x_2025-05-29_02-23-00_001_grid_r1_c1_15,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,460.0,313.0,2.5600000000000005,15
160x_2025-05-29_02-23-00_001_grid_r1_c1_16,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,10.0,258.0,2.5600000000000005,16
160x_2025-05-29_02-23-00_001_grid_r1_c1_17,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,173.0,426.0,2.5600000000000005,17
160x_2025-05-29_02-23-00_001_grid_r1_c1_18,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,225.0,354.0,2.5600000000000005,18
160x_2025-05-29_02-23-00_001_grid_r1_c1_19,160x_2025-05-29_02-23-00_001_grid_r1_c1.png,261.0,372.0,2.5600000000000005,19
160x_2025-05-29_02-23-00_001_grid_r1_c2_0,160x_2025-05-29_02-23-00_001_grid_r1_c2.png,309.0,500.0,2.5600000000000005,0
160x_2025-05-29_02-23-00_001_grid_r1_c2_1,160x_2025-05-29_02-23-00_001_grid_r1_c2.png,223.0,157.0,2.5600000000000005,1
160x_2025-05-29_02-23-00_001_grid_r1_c2_2,160x_2025-05-29_02-23-00_001_grid_r1_c2.png,214.0,33.0,2.5600000000000005,2
160x_2025-05-29_02-23-00_001_grid_r1_c2_3,160x_2025-05-29_02-23-00_001_grid_r1_c2.png,80.0,12.0,2.5600000000000005,3
160x_2025-05-29_02-23-00_001_grid_r1_c2_4,160x_2025-05-29_02-23-00_001_grid_r1_c2.png,136.0,388.0,2.5600000000000005,4
160x_2025-05-29_02-23-00_001_grid_r1_c2_5,160x_2025-05-29_02-23-00_001_grid_r1_c2.png,169.0,190.0,2.5600000000000005,5
160x_2025-05-29_02-23-00_001_grid_r1_c2_6,160x_2025-05-29_02-23-00_001_grid_r1_c2.png,57.0,411.0,2.5600000000000005,6
160x_2025-05-29_02-23-00_001_grid_r1_c2_7,160x_2025-05-29_02-23-00_001_grid_r1_c2.png,179.0,156.0,2.5600000000000005,7
160x_2025-05-29_02-23-00_001_grid_r1_c2_8,160x_2025-05-29_02-23-00_001_grid_r1_c2.png,32.0,103.0,2.5600000000000005,8
160x_2025-05-29_02-23-00_001_grid_r1_c2_9,160x_2025-05-29_02-23-00_001_grid_r1_c2.png,436.0,420.0,2.5600000000000005,9
160x_2025-05-29_02-23-00_001_grid_r1_c2_10,160x_2025-05-29_02-23-00_001_grid_r1_c2.png,238.0,407.0,2.5600000000000005,10
160x_2025-05-29_02-23-00_001_grid_r1_c2_11,160x_2025-05-29_02-23-00_001_grid_r1_c2.png,154.0,120.0,2.5600000000000005,11
160x_2025-05-29_02-23-00_001_grid_r1_c2_12,160x_2025-05-29_02-23-00_001_grid_r1_c2.png,92.0,422.0,2.5600000000000005,12
160x_2025-05-29_02-23-00_001_grid_r1_c3_0,160x_2025-05-29_02-23-00_001_grid_r1_c3.png,45.0,360.0,2.5600000000000005,0
160x_2025-05-29_02-23-00_001_grid_r1_c3_1,160x_2025-05-29_02-23-00_001_grid_r1_c3.png,36.0,144.0,2.5600000000000005,1
320x_2025-05-16_00-59-00_grid_r3_c1_0,320x_2025-05-16_00-59-00_grid_r3_c1.png,77.0,420.0,2.5600000000000005,0
320x_2025-05-16_00-59-00_grid_r3_c1_1,320x_2025-05-16_00-59-00_grid_r3_c1.png,135.0,492.0,2.5600000000000005,1
640x_2025-05-16_00-59-00_002_grid_r2_c0_0,640x_2025-05-16_00-59-00_002_grid_r2_c0.png,354.0,286.0,2.5600000000000005,0
